id,user_id,amount,action,timestamp
1,4,10,login,2025-02-11T23:25:52.838075
2,4,10,login,2025-02-12T00:40:46.662301
3,4,5,chat,2025-02-12T01:02:37.794404
4,4,5,chat,2025-02-12T01:02:48.353763
5,4,10,login,2025-02-12T02:09:51.168834
6,5,10,login,2025-02-12T03:20:36.474848
7,5,10,login,2025-02-12T03:46:40.015941
8,5,10,login,2025-02-12T03:56:56.081448
9,4,10,login,2025-02-12T03:58:39.334250
10,4,10,login,2025-02-12T08:56:59.388755
